110	4	60.365672	2	68.949516	63.000000	2	1.154531	2	3	1	2	2	1.2684
111	5	60.365672	2	63.746885	63.000000	1	1.248382	3	2	1	1	1	0.9742
112	6	60.365672	2	62.959688	63.000000	2	1.366755	3	2	1	1	1	0.9756
113	7	60.365672	1	56.093501	63.000000	1	0.951978	4	8	1	2	2	0.7220
114	8	60.365672	2	68.948734	63.000000	2	1.428574	2	7	1	2	2	0.7790
115	9	60.365672	1	56.234857	63.000000	1	0.914844	2	3	1	2	2	0.7180
116	10	60.365672	2	69.112907	63.000000	2	1.144858	4	3	1	1	1	1.0266
117	11	60.365672	1	58.947598	63.000000	1	0.944387	6	3	1	2	2	1.1461
118	12	60.365672	1	57.136664	63.000000	1	0.979175	2	4	1	2	2	0.8357
119	13	60.365672	1	57.422816	63.000000	1	0.825799	6	2	1	2	2	0.7209
120	14	60.365672	2	64.970844	63.000000	2	1.099678	5	4	1	2	2	0.7592
121	1	74.571227	2	82.777528	77.000000	2	0.869626	5	4	1	2	0	0.0000
122	2	74.571227	1	71.432757	77.000000	1	0.902912	2	7	1	1	0	0.0000
123	3	74.571227	2	83.783193	77.000000	2	0.422626	3	4	1	1	0	0.0000
124	4	74.571227	2	81.349310	77.000000	2	0.554295	3	8	2	2	0	0.0000
125	5	74.571227	1	71.642801	77.000000	1	0.832176	3	7	1	2	0	0.0000
126	6	74.571227	2	83.769926	77.000000	2	0.482595	3	5	1	1	0	0.0000
127	7	74.571227	1	72.585408	77.000000	1	0.691309	2	3	1	2	0	0.0000
128	8	74.571227	2	79.536755	77.000000	2	0.483994	8	2	1	1	0	0.0000
129	9	74.571227	2	83.127830	77.000000	2	0.460738	6	5	1	1	0	0.0000
130	10	74.571227	2	77.686592	77.000000	2	0.494120	6	4	1	1	0	0.0000
131	11	74.571227	1	71.317595	77.000000	1	0.662494	2	3	1	1	0	0.0000
132	12	74.571227	1	71.237594	77.000000	1	0.591658	3	2	1	1	0	0.0000
133	13	74.571227	1	70.912374	77.000000	1	0.564286	4	8	1	1	0	0.0000
134	14	74.571227	1	70.807025	77.000000	1	0.601745	4	7	1	1	0	0.0000
135	1	91.412794	1	91.000000	87.543933	2	1.978289	3	2	1	2	2	0.6168
136	2	91.412794	1	91.000000	84.410128	2	2.143523	7	4	1	1	2	1.1052
137	3	91.412794	1	91.000000	86.642797	1	1.444114	4	3	2	1	1	1.1217
138	4	91.412794	1	91.000000	84.910051	2	3.116030	2	6	1	2	2	0.7736
139	5	91.412794	1	91.000000	86.625550	1	2.846132	5	4	1	2	2	1.2987
140	6	91.412794	1	91.000000	84.316515	2	1.495084	2	3	2	2	2	0.8089
141	7	91.412794	2	91.000000	93.096740	2	1.304313	4	5	1	1	1	1.2840
142	8	91.412794	2	91.000000	93.261317	2	1.471509	6	2	2	1	1	0.6043
143	9	91.412794	2	91.000000	94.122863	2	1.227669	4	2	1	1	1	1.2188
144	10	91.412794	1	91.000000	84.897348	1	0.968933	4	7	1	1	1	0.7143
145	11	91.412794	2	91.000000	97.627454	2	0.860870	2	3	1	2	2	1.4502
146	12	91.412794	2	91.000000	94.454960	2	1.359150	4	7	1	1	1	1.3046
147	13	91.412794	2	91.000000	93.741003	2	1.547552	3	2	2	1	1	1.5888
148	14	91.412794	2	91.000000	95.526973	2	0.740353	2	4	1	2	2	1.6630
149	15	91.412794	2	91.000000	94.650365	2	0.763054	5	3	1	2	2	0.8124
150	16	91.412794	1	91.000000	89.332677	1	1.090805	2	6	1	1	2	2.5513
151	17	91.412794	2	91.000000	95.794152	2	0.736316	3	6	1	1	1	1.2179
152	18	91.412794	1	91.000000	85.508962	1	0.976370	6	5	1	2	2	1.4014
153	1	47.458700	1	49.000000	44.067119	1	2.542831	2	4	1	1	0	0.0000
154	2	47.458700	1	49.000000	42.934147	1	1.411836	7	2	1	1	0	0.0000
155	3	47.458700	1	49.000000	42.125478	1	0.742723	6	5	1	2	0	0.0000
156	4	47.458700	2	49.000000	53.122984	2	0.581208	3	4	1	2	0	0.0000
157	5	47.458700	1	49.000000	45.662746	2	0.673835	4	2	1	2	0	0.0000
158	6	47.458700	2	49.000000	50.125632	2	0.899425	6	3	1	2	0	0.0000
159	7	47.458700	1	49.000000	43.825820	2	0.714763	2	3	1	1	0	0.0000
160	8	47.458700	1	49.000000	43.182902	2	1.018547	7	4	1	2	0	0.0000
161	9	47.458700	2	49.000000	52.411446	1	0.997331	5	4	1	2	0	0.0000
162	10	47.458700	2	49.000000	48.868046	1	3.176903	6	2	1	1	0	0.0000
163	11	47.458700	2	49.000000	50.435873	2	0.772316	2	7	1	2	0	0.0000
164	12	47.458700	1	49.000000	44.283219	1	1.065514	3	4	1	1	0	0.0000
165	13	47.458700	2	49.000000	50.236186	2	0.618278	5	6	1	1	0	0.0000
166	14	47.458700	1	49.000000	45.851775	1	2.989761	4	8	1	2	0	0.0000
167	15	47.458700	2	49.000000	50.888578	2	0.640596	3	7	1	1	0	0.0000
168	16	47.458700	1	49.000000	42.918460	1	0.723209	4	3	1	1	0	0.0000
169	17	47.458700	2	49.000000	49.713561	2	0.562523	5	8	2	2	0	0.0000
170	18	47.458700	2	49.000000	50.721140	2	1.287895	2	4	1	2	0	0.0000
171	19	47.458700	1	49.000000	45.905196	1	0.799901	6	2	1	2	0	0.0000
172	20	47.458700	1	49.000000	44.911232	2	0.795976	4	7	2	2	0	0.0000
173	21	47.458700	1	49.000000	43.583982	2	1.215827	4	3	1	1	0	0.0000
174	22	47.458700	2	49.000000	52.639914	2	0.562683	4	8	1	2	0	0.0000
175	23	47.458700	2	49.000000	53.582330	1	1.824046	3	8	1	1	0	0.0000
176	24	47.458700	2	49.000000	53.226674	2	0.530250	3	6	1	1	0	0.0000
177	25	47.458700	2	49.000000	50.108892	1	0.649228	2	8	1	1	0	0.0000
178	26	47.458700	2	49.000000	52.782995	2	0.579136	2	4	2	2	0	0.0000
179	27	47.458700	1	49.000000	44.358022	1	1.119715	5	3	1	2	0	0.0000
180	28	47.458700	2	49.000000	49.794696	1	0.990605	7	5	1	1	0	0.0000
181	29	47.458700	2	49.000000	54.524868	2	0.563036	8	4	1	2	0	0.0000
182	30	47.458700	1	49.000000	42.964789	1	0.824482	3	8	1	1	0	0.0000
183	31	47.458700	1	49.000000	44.780020	2	2.707721	5	7	1	2	0	0.0000
184	32	47.458700	2	49.000000	51.821265	2	0.553905	3	5	1	2	0	0.0000
185	33	47.458700	1	49.000000	42.998815	1	0.672171	3	4	1	1	0	0.0000
186	34	47.458700	1	49.000000	43.739070	1	0.969388	2	4	1	2	0	0.0000
187	35	47.458700	2	49.000000	55.797456	2	0.510417	6	3	1	2	0	0.0000
188	36	47.458700	2	49.000000	51.083151	1	0.574497	2	3	1	1	0	0.0000
189	37	47.458700	2	49.000000	50.919565	2	0.939768	3	4	1	1	0	0.0000
