t2c_delay,alpha,noise,t2c_liti,t2c_siti
1.0,0.01,2.6099999999999999,0.41098646813219986,0.27189496453543943
1.0,0.01,2.71,0.40226070226070221,0.24555074555074552
1.0,0.01,2.8100000000000001,0.41648079306071867,0.28990086741016108
1.0,0.01,2.9100000000000001,0.45799610695625448,0.27825017928490936
1.0,0.01,3.0099999999999998,0.43192730652072897,0.24606329702101296
1.0,0.01,3.1099999999999999,0.45323356493853556,0.30690658590177566
1.0,0.01,3.21,0.4609812120855174,0.29931091348135935
1.0,0.01,3.3100000000000001,0.43893744250229993,0.3054852805887765
1.0,0.01,3.5099999999999998,0.51513604201619378,0.32919979575461378
1.0,0.01,3.6099999999999999,0.52111672111672114,0.36049896049896052
1.0,0.01,3.71,0.37704592798333497,0.27770062493800218
1.0,0.01,3.8100000000000001,0.39399025446670277,0.29220357336220898
1.0,0.01,3.9100000000000001,0.447396449704142,0.34585798816568047
1.0,0.01,4.0099999999999998,0.47478404471544716,0.34114583333333337
1.0,0.01,4.1100000000000003,0.42696381288614299,0.24591791703442187
1.0,0.01,4.21,0.41260372037529153,0.25858235262215956
1.0,0.01,4.3099999999999996,0.34964671654197838,0.2490648379052369
1.0,0.01,4.4100000000000001,0.39737991266375544,0.29356622998544396
1.0,0.01,4.6100000000000003,0.48306746861924682,0.35917887029288698
1.0,0.01,4.71,0.46756119138897084,0.38521085225597174
1.0,0.01,4.8100000000000005,0.5535578819602488,0.38825671370050069
1.0,0.01,4.9100000000000001,0.40019874130506788,0.32553825770122558
1.0,0.11,0.01,0.41747181964573271,0.2733494363929147
1.0,0.11,0.11,0.40484048404840489,0.28520352035203517
1.0,0.11,0.21000000000000002,0.4044450541912471,0.27287693785155714
1.0,0.11,0.31000000000000005,0.40015847860538828,0.27390385631273112
1.0,0.11,0.41000000000000003,0.43162522741055187,0.31731352334748336
1.0,0.11,0.51000000000000001,0.39453408925715944,0.28754179386538742
1.0,0.11,0.6100000000000001,0.39318442153493699,0.30483963344788084
1.0,0.11,0.71000000000000008,0.39357069672131151,0.27868852459016397
1.0,0.11,0.81000000000000005,0.41391834955687923,0.30088624146447773
1.0,0.11,0.91000000000000003,0.41122913505311076,0.31456752655538694
1.0,0.11,1.01,0.38454092920353983,0.2988108407079646
1.0,0.11,1.1100000000000001,0.45414915148684415,0.35154912034874664
1.0,0.11,1.2100000000000002,0.46474538332400667,0.3055400111919418
1.0,0.11,1.3100000000000001,0.39513134369412739,0.30009627286480545
1.0,0.11,1.4100000000000001,0.46588778306649353,0.31169767777296986
1.0,0.11,1.51,0.36213187385978629,0.28472765181131093
1.0,0.11,1.6100000000000001,0.41700847689362863,0.28684714246650261
1.0,0.11,1.7100000000000002,0.52624333161245906,0.35450008604371025
1.0,0.11,1.8100000000000001,0.42407166594422779,0.31585031064875019
1.0,0.11,1.9100000000000001,0.42671835395855084,0.34799463247353513
1.0,0.11,2.0099999999999998,0.36322188449848025,0.32535460992907805
1.0,0.11,2.1099999999999999,0.40345625255136752,0.32371751258674653
1.0,0.11,2.21,0.35579700178792467,0.31164901664145239
1.0,0.11,2.3100000000000001,0.41682083392628433,0.31563967553721362
1.0,0.11,2.4100000000000001,0.43499567598731625,0.31940040357451716
1.0,0.11,2.5099999999999998,0.37854053299846518,0.3125436026231338
1.0,0.11,2.6099999999999999,0.43454920853406742,0.30323468685478322
