vis_width,alpha_critic,alpha_actor,t2c_delay,t2c_liti,t2c_siti
1,0.03,0.18000000000000002,1.0,0.7680496569748448,0.7644560601110748
1,0.03,0.19,1.0,0.7612903225806452,0.7429032258064516
1,0.04,0.01,1.0,0.35797749567224474,0.356462781304097
1,0.04,0.02,1.0,0.326334453154162,0.3212019410227697
1,0.04,0.03,1.0,0.41952776005105297,0.39246968730057435
1,0.04,0.04,1.0,0.4262270845653459,0.4253400354819633
1,0.04,0.05,1.0,0.487844702467344,0.5043541364296081
1,0.04,0.060000000000000005,1.0,0.5333468889792599,0.5544936966246442
1,0.04,0.06999999999999999,1.0,0.5476777640772709,0.5458281956432388
1,0.04,0.08,1.0,0.5965868689262859,0.5984830528561271
1,0.04,0.09,1.0,0.6042843691148777,0.571798493408663
1,0.04,0.09999999999999999,1.0,0.5956354300385108,0.5866495507060334
1,0.04,0.11,1.0,0.6117707795560144,0.6009292720702116
1,0.04,0.12,1.0,0.6367666232073012,0.6359843546284224
1,0.04,0.13,1.0,0.6798280956218103,0.6416868117109858
1,0.04,0.14,1.0,0.6683688795434064,0.7119255031541003
1,0.04,0.15000000000000002,1.0,0.691608603453499,0.7116025446834292
1,0.04,0.16,1.0,0.716045673076923,0.7109375
1,0.04,0.17,1.0,0.6984126984126984,0.7587301587301587
1,0.04,0.18000000000000002,1.0,0.7762191048764194,0.7725450901803607
1,0.04,0.19,1.0,0.7331027978623075,0.7129833385727758
1,0.05,0.01,1.0,0.35039317606290815,0.33913101426096226
1,0.05,0.02,1.0,0.3853473856543538,0.3552645042463931
1,0.05,0.03,1.0,0.4170935562146131,0.406578592612564
1,0.05,0.04,1.0,0.4650105536613086,0.47783731125182655
1,0.05,0.05,1.0,0.46987305560522086,0.4963347040944037
1,0.05,0.060000000000000005,1.0,0.5195863988864585,0.5132233048319745
1,0.05,0.06999999999999999,1.0,0.5604324324324325,0.5314594594594594
1,0.05,0.08,1.0,0.5559828093191586,0.5736258764985297
1,0.05,0.09,1.0,0.5923732828043582,0.5940312648034107
1,0.05,0.09999999999999999,1.0,0.6174807197943445,0.6123393316195374
1,0.05,0.11,1.0,0.6964535046076514,0.6944987433677744
1,0.05,0.12,1.0,0.6830508474576271,0.6954802259887006
1,0.05,0.13,1.0,0.6016972351491925,0.6558992608814673
1,0.05,0.14,1.0,0.7212230215827338,0.7146282973621103
1,0.05,0.15000000000000002,1.0,0.706473544191546,0.7233224948270766
1,0.05,0.16,1.0,0.6703672075149445,0.7255906632507827
1,0.05,0.17,1.0,0.7853954081632653,0.7509566326530612
1,0.05,0.18000000000000002,1.0,0.7441221374045802,0.6845801526717558
1,0.05,0.19,1.0,0.7113237639553429,0.7362041467304624
1,0.060000000000000005,0.01,1.0,0.3582352526605117,0.3525266051166397
1,0.060000000000000005,0.02,1.0,0.34890137966274914,0.3838528359734288
1,0.060000000000000005,0.03,1.0,0.4163027656477439,0.406113537117904
1,0.060000000000000005,0.04,1.0,0.440710209258085,0.45798985415345594
1,0.060000000000000005,0.05,1.0,0.5148247978436657,0.4682839173405211
1,0.060000000000000005,0.060000000000000005,1.0,0.530990919857876,0.5353335965258588
1,0.060000000000000005,0.06999999999999999,1.0,0.5786492374727669,0.5446623093681917
1,0.060000000000000005,0.08,1.0,0.6445722861430716,0.6508254127063532
1,0.060000000000000005,0.09,1.0,0.5749144811858609,0.5954389965792474
1,0.060000000000000005,0.09999999999999999,1.0,0.6609768907563026,0.6783088235294118
1,0.060000000000000005,0.11,1.0,0.5907012195121951,0.5802845528455285
1,0.060000000000000005,0.12,1.0,0.6843872411863459,0.6773922775601566
1,0.060000000000000005,0.13,1.0,0.6559503666102651,0.679639029892837
1,0.060000000000000005,0.14,1.0,0.6792287467134094,0.7134092900964067
1,0.060000000000000005,0.15000000000000002,1.0,0.736346516007533,0.714375392341494
1,0.060000000000000005,0.16,1.0,0.7608906098741529,0.7612132946111649
1,0.060000000000000005,0.17,1.0,0.684795673076923,0.7040264423076923
1,0.060000000000000005,0.18000000000000002,1.0,0.7852480417754568,0.7712140992167101
1,0.060000000000000005,0.19,1.0,0.7130573248407643,0.7044585987261147
1,0.06999999999999999,0.01,1.0,0.32609130289903365,0.33295568143952015
1,0.06999999999999999,0.02,1.0,0.3988577362409138,0.3616822429906542
1,0.06999999999999999,0.03,1.0,0.4102530483807526,0.42310213714435563
1,0.06999999999999999,0.04,1.0,0.449623352165725,0.450721908349027
1,0.06999999999999999,0.05,1.0,0.4968454258675079,0.5047318611987381
1,0.06999999999999999,0.060000000000000005,1.0,0.5253807106598984,0.527723545490043
1,0.06999999999999999,0.06999999999999999,1.0,0.5711831651277647,0.5572256817693794
1,0.06999999999999999,0.08,1.0,0.6117876278616659,0.6456405260594252
1,0.06999999999999999,0.09,1.0,0.6252712804436943,0.584277791174343
1,0.06999999999999999,0.09999999999999999,1.0,0.6197863682604273,0.6276703967446592
1,0.06999999999999999,0.11,1.0,0.6520562770562771,0.6493506493506493
1,0.06999999999999999,0.12,1.0,0.6758392955421023,0.6805173362685745
1,0.06999999999999999,0.13,1.0,0.6955787102224725,0.7029005913827091
1,0.06999999999999999,0.14,1.0,0.6950028719126938,0.7053417576105686
1,0.06999999999999999,0.15000000000000002,1.0,0.7278890600924499,0.7359013867488443
1,0.06999999999999999,0.16,1.0,0.7182410423452769,0.7547231270358307
1,0.06999999999999999,0.17,1.0,0.7298474945533768,0.742296918767507
1,0.06999999999999999,0.18000000000000002,1.0,0.7640776699029126,0.7504854368932039
1,0.06999999999999999,0.19,1.0,0.7517527087316762,0.7246653919694073
1,0.08,0.01,1.0,0.3686897741981878,0.35682439234862645
1,0.08,0.02,1.0,0.42554156742656235,0.42463422932970396
1,0.08,0.03,1.0,0.4250334672021419,0.4214190093708166
1,0.08,0.04,1.0,0.4500999538674458,0.4682454251883746
1,0.08,0.05,1.0,0.49790940766550523,0.46655052264808367
1,0.08,0.060000000000000005,1.0,0.5108292682926829,0.5135609756097561
1,0.08,0.06999999999999999,1.0,0.5545054945054945,0.5630769230769231
1,0.08,0.08,1.0,0.6076531847905062,0.6204892225720514
1,0.08,0.09,1.0,0.630826140567201,0.5913686806411838
1,0.08,0.09999999999999999,1.0,0.6527281998980112,0.6455889852116268
1,0.08,0.11,1.0,0.6816438356164384,0.6726027397260275
1,0.08,0.12,1.0,0.6604767184035476,0.656319290465632
1,0.08,0.13,1.0,0.6265223274695534,0.6376184032476319
1,0.08,0.14,1.0,0.6990809368514675,0.6916691372665283
1,0.08,0.15000000000000002,1.0,0.7487639060568604,0.7262051915945612
1,0.08,0.16,1.0,0.7339962709757614,0.7007458048477315
1,0.08,0.17,1.0,0.7117503059975521,0.7126682986536107
1,0.08,0.18000000000000002,1.0,0.7559375,0.7265625
1,0.08,0.19,1.0,0.7708744247205785,0.7550953320184088
1,0.09,0.01,1.0,0.3525136281041793,0.33232384413486776
1,0.09,0.02,1.0,0.33816521048451154,0.34342732327243847
1,0.09,0.03,1.0,0.4052806972571136,0.412971033068444
1,0.09,0.04,1.0,0.4228345302652792,0.40979041477356
1,0.09,0.05,1.0,0.49611255090707146,0.4875971862273232
1,0.09,0.060000000000000005,1.0,0.5379518072289157,0.5251004016064257
1,0.09,0.06999999999999999,1.0,0.5396629675297987,0.5363748458692972
1,0.09,0.08,1.0,0.601317957166392,0.5697811249705813
1,0.09,0.09,1.0,0.5795212135577151,0.5833135814173975
1,0.09,0.09999999999999999,1.0,0.6245986663373672,0.6159545566806619
1,0.09,0.11,1.0,0.6491734452899501,0.6384151141432695
1,0.09,0.12,1.0,0.6351713062098501,0.6517665952890793
1,0.09,0.13,1.0,0.73048004626952,0.7220936957779063
1,0.09,0.14,1.0,0.6877562975981254,0.681312243702402
1,0.09,0.15000000000000002,1.0,0.7136136430461629,0.7118494560423405
1,0.09,0.16,1.0,0.7957460118861434,0.7413199874882702
1,0.09,0.17,1.0,0.7642198919605975,0.7486495074674293
1,0.09,0.18000000000000002,1.0,0.7936884967763828,0.7862232779097388
1,0.09,0.19,1.0,0.7495126705653021,0.7797270955165692
1,0.09999999999999999,0.01,1.0,0.3356728303414766,0.3499122688621946
1,0.09999999999999999,0.02,1.0,0.38975525232835173,0.41401342863331164
1,0.09999999999999999,0.03,1.0,0.38435201623129595,0.389297489221405
1,0.09999999999999999,0.04,1.0,0.4635272391505078,0.44244382887042166
1,0.09999999999999999,0.05,1.0,0.4614334470989761,0.47013651877133106
1,0.09999999999999999,0.060000000000000005,1.0,0.48192771084337355,0.4888930722891566
1,0.09999999999999999,0.06999999999999999,1.0,0.5775918996257979,0.574950473255558
1,0.09999999999999999,0.08,1.0,0.6098136352913424,0.6166548714319415
1,0.09999999999999999,0.09,1.0,0.5950012132977432,0.6071341907304052
1,0.09999999999999999,0.09999999999999999,1.0,0.6611183355006502,0.6715214564369311
1,0.09999999999999999,0.11,1.0,0.7173539518900344,0.6892898052691867
1,0.09999999999999999,0.12,1.0,0.7202043132803632,0.6870034052213394
1,0.09999999999999999,0.13,1.0,0.6614196614196614,0.6857736857736857
